contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type
SPY241002P00575000,2024-10-01 20:13:37+00:00,575.0,6.34,6.29,6.4,3.2600002,105.84417,4089.0,844,0.10157148437499999,True,REGULAR,USD,put
SPY241002P00576000,2024-10-01 19:59:15+00:00,576.0,7.45,7.19,7.34,4.0599995,119.763985,1183.0,329,1.0000000000000003e-05,True,REGULAR,USD,put
SPY241002P00577000,2024-10-01 20:00:54+00:00,577.0,7.97,7.99,8.69,3.8199997,92.04818,638.0,53,0.21826953613281247,True,REGULAR,USD,put
SPY241002P00578000,2024-10-01 20:00:01+00:00,578.0,9.2,8.98,9.4,4.16,82.53968,604.0,123,0.14063359375,True,REGULAR,USD,put
SPY241002P00579000,2024-10-01 18:30:22+00:00,579.0,8.58,9.98,10.57,3.4499998,67.25146,39.0,24,0.22705851074218747,True,REGULAR,USD,put
SPY241002P00580000,2024-10-01 20:00:35+00:00,580.0,10.9,11.02,11.66,4.0399995,58.892117,51.0,449,0.26636475830078127,True,REGULAR,USD,put
SPY241002P00581000,2024-09-30 18:43:42+00:00,581.0,12.2,11.98,12.57,1.8400002,17.76062,5.0,23,0.2602613037109375,True,REGULAR,USD,put
SPY241002P00582000,2024-10-01 19:06:58+00:00,582.0,13.0,12.98,13.69,3.1999998,32.653057,13.0,3,0.30811238769531246,True,REGULAR,USD,put
SPY241002P00583000,2024-10-01 15:44:38+00:00,583.0,14.3,13.98,14.57,3.6900005,34.77852,4.0,2,0.2924875439453124,True,REGULAR,USD,put
SPY241002P00584000,2024-09-27 16:01:59+00:00,584.0,11.59,14.98,15.78,0.0,0.0,55.0,0,0.36377589355468753,True,REGULAR,USD,put
SPY241002P00585000,2024-10-01 20:00:35+00:00,585.0,15.9,16.02,16.76,2.96,22.874807,4.0,1,0.3764710791015625,True,REGULAR,USD,put
SPY241002P00587000,2024-10-01 18:30:13+00:00,587.0,16.33,17.98,18.78,-0.84000015,-4.892255,3.0,1,0.4155331884765625,True,REGULAR,USD,put
SPY241002P00590000,2024-10-01 16:10:38+00:00,590.0,20.67,21.02,21.76,0.13999939,0.6819259,1.0,0,0.46045461425781253,True,REGULAR,USD,put
SPY241002P00595000,2024-09-23 16:01:47+00:00,595.0,28.85,26.01,26.85,3.380001,13.270519,2.0,0,0.5659223095703125,True,REGULAR,USD,put
SPY241002P00600000,2024-10-01 14:41:03+00:00,600.0,31.86,30.64,31.85,3.4099998,11.98594,1.0,1,0.6455113574218749,True,REGULAR,USD,put
SPY241002P00605000,2024-10-01 13:50:49+00:00,605.0,36.0,35.64,36.85,3.290001,10.058089,2.0,1,0.7226590234375,True,REGULAR,USD,put
SPY241002P00620000,2024-09-19 14:38:55+00:00,620.0,50.3,50.64,51.85,0.0,0.0,,0,0.9423833886718749,True,REGULAR,USD,put
SPY241002P00655000,2024-09-25 14:06:00+00:00,655.0,83.36,85.64,86.85,0.0,0.0,,0,1.40625296875,True,REGULAR,USD,put
